Reservoir Name,Code,Capacity,Wiki,
SHASTA,SHA,"4,552,000",http://en.wikipedia.org/wiki/Shasta_Lake,
OROVILLE,ORO,"3,537,577",http://en.wikipedia.org/wiki/Oroville_Dam,
TRINITY LAKE,CLE,"2,447,650",http://en.wikipedia.org/wiki/Trinity_Lake,
NEW MELONES,NML,"2,400,000",http://en.wikipedia.org/wiki/New_Melones_Lake,
SAN LUIS,SNL,"2,041,000",http://en.wikipedia.org/wiki/San_Luis_Reservoir,
DON PEDRO,DNP,"2,030,000",http://en.wikipedia.org/wiki/Don_Pedro_Reservoir,
MC CLURE (EXCHEQUER),EXC,"1,032,000",http://en.wikipedia.org/wiki/Lake_McClure,
PINE FLAT,PNF,"1,000,000",http://en.wikipedia.org/wiki/Pine_Flat_Lake,
FOLSOM,FOL,"977,000",http://en.wikipedia.org/wiki/Folsom_Lake,
BULLARDS BAR,BUL,"969,600",http://en.wikipedia.org/wiki/New_Bullards_Bar_Reservoir,
ISABELLA,ISB,"568,000",http://en.wikipedia.org/wiki/Isabella_Dam,
MILLERTON (FRIANT),MIL,"520,500",http://en.wikipedia.org/wiki/Millerton_Lake,
CAMANCHE,CMN,"417,120",http://en.wikipedia.org/wiki/Camanche_Reservoir,
SONOMA(WARM SPRINGS),WRS,"381,000",http://en.wikipedia.org/wiki/Lake_Sonoma,
HETCH HETCHY,HTH,"360,000",http://en.wikipedia.org/wiki/Hetch_Hetchy,
CASTAIC,CAS,"325,000",http://en.wikipedia.org/wiki/Castaic_Lake,
NEW HOGAN,NHG,"317,000",http://en.wikipedia.org/wiki/New_Hogan_Lake,
INDIAN VALLEY,INV,"300,000",http://en.wikipedia.org/wiki/Indian_Valley_Reservoir,
CHERRY VALLEY,CHV,"273,500",http://en.wikipedia.org/wiki/Cherry_Lake,
WHISKEYTOWN,WHI,"241,100",http://en.wikipedia.org/wiki/Whiskeytown_Lake,
UNION VALLEY,UNV,"230,000",http://en.wikipedia.org/wiki/Union_Valley_Reservoir,
STAMPEDE,STP,"226,500",http://en.wikipedia.org/wiki/Stampede_Dam,
PARDEE,PAR,"210,000",http://en.wikipedia.org/wiki/Pardee_Dam,
CACHUMA LAKE,CCH,"190,500",http://en.wikipedia.org/wiki/Lake_Cachuma,
KAWEAH (TERMINUS),TRM,"185,600",http://en.wikipedia.org/wiki/Lake_Kaweah,
PYRAMID,PYM,"180,000",http://en.wikipedia.org/wiki/Pyramid_Lake_%28Los_Angeles_County,_California%29
EASTMAN (BUCHANAN),BUC,"150,000",http://en.wikipedia.org/wiki/Eastman_Lake,
BLACK BUTTE,BLB,"143,700",http://en.wikipedia.org/wiki/Black_Butte_Lake,
LAKE PERRIS,PRR,"131,452",http://en.wikipedia.org/wiki/Lake_Perris,
MENDOCINO (COYOTE),COY,"122,400",http://en.wikipedia.org/wiki/Lake_Mendocino,
HENSLEY (HIDDEN),HID,"90,000",http://en.wikipedia.org/wiki/Hidden_Dam,
LAKE DAVIS,DAV,"83,000",http://en.wikipedia.org/wiki/Lake_Davis,
SUCCESS,SCC,"82,300",http://en.wikipedia.org/wiki/Lake_Success_(California),
BEARDSLEY,BRD,"77,600",http://en.wikipedia.org/wiki/Beardsley_Dam,
LOON LAKE,LON,"76,500",http://en.wikipedia.org/wiki/Loon_Lake_%28California%29,
ENGLEBRIGHT,ENG,"70,000",http://en.wikipedia.org/wiki/Englebright_Lake,
TULLOCH,TUL,"68,400",http://en.wikipedia.org/wiki/Tulloch_Dam,
DONNELL'S,DON,"56,893",http://en.wikipedia.org/wiki/Donnells_Dam,
FRENCHMAN,FRD,"55,477",http://en.wikipedia.org/wiki/Frenchman_Lake,
ICH HOUSE,ICH,"37,120",http://en.wikipedia.org/wiki/Upper_American_River_Project,
KESWICK,KES,"23,772",http://en.wikipedia.org/wiki/Keswick_Dam,
ANTELOPE,ANT,"22,566",http://en.wikipedia.org/wiki/Antelope_Dam_%28California%29,
INDEPENDENCE LAKE,INP,"17,295",http://en.wikipedia.org/wiki/Tahoe_National_Forest,
LEWISTON,LEW,"14,660",http://en.wikipedia.org/wiki/Lewiston_Dam_%28California%29,
DONNER LAKE,DNN,"9,700",http://en.wikipedia.org/wiki/Donner_Lake,
NIMBUS,NAT,"9,000",http://en.wikipedia.org/wiki/Nimbus_Dam,
