"ID","DAM","LAKE","STREAM","CAPACITY (AF)"
"APN","Alpine","Alpine Lake","Lagunitas Creek","8892"
"ANT","Antelope","Antelope","Indian Creek","22566"
"AST","Austrian","Lake Austrian","Los Gatos Creek","6200"
"BRT","Barrett","Barrett Lake","Cottonwood Creek","34805"
"BAR","Bear","Bear Reservoir","Bear Creek","7700"
"BRV","Bear Valley","Big Bear Lake","Bear Creek","74000"
"BRD","Beardsley","Beardsley Lake","M Fork Stanislaus River","97800"
"BTH","Bethany Forebay","Bethany Forebay","Delta","5250"
"BLB","Black Butte","Black Butte Lake","Stony Creek","143700"
"BOC","Boca","Boca Reservoir","Little Truckee River","40870"
"BMP","Bon Tempe","Bon Tempe Reservoir","Lagunitas Creek","4300"
"BQC","Bouquet Canyon","Bouquet Reservoir","Bouquet Creek","36505"
"BWN","Bowman","Bowman Lake","Canyon Creek","68510"
"BWS","Bowman Spaulding Diversion","Lake Spaulding System","Yuba River","144591"
"BDP","Bridgeport","Bridgeport Reservoir","E Fork Walker River","44100"
"BIO","Briones","Briones Lake","Bear Creek","67520"
"BHC","Brush Creek","Brush Creek Reservoir","Brush Creek","1530"
"BUC","Buchanan","Eastman Lake","Chowchilla River","150000"
"BIL","Buck Island","Buck Island Lake","Little Rubicon Creek","1070"
"BCL","Bucks","Bucks Lake","Bucks Creek","103000"
"BTV","Butt Valley","Butt Valley Reservoir","Butt Creek","49930"
"CCH","Cachuma","Cachuma Lake","Santa Ynez","193305"
"CVE","Calaveras","Calaveras Reservoir","Calaveras Creek","100000"
"CRO","Calero","Calero Reservoir","Calero Creek","9738"
"CMN","Camanche","Camanche Reservoir","Mokelumne River","417120"
"CMI","Camino","Camino Reservoir","Silver Creek","275"
"CFW","Camp Far West","Camp Far West","Bear River","104500"
"ALM","Canyon","Lake Almanor","N Fork Feather River","1308000"
"CPL","Caples","Caples Lake","Silver Fork American River","22340"
"CSI","Casitas","Lake Casitas","Casitas Creek","238000"
"CAS","Castaic","Castaic Lake","Castaic Creek","325000"
"SLW","Cedar Springs","Lake Silverwood","Mojave River","78000"
"CHB","Chabot","Lake Chabot","San Leandro Creek","10281"
"CHV","Cherry Valley","Cherry Lake","Cherry Creek","273500"
"JNN","Chet Harrit","Lake Jennings","Quail Canyon Creek","9790"
"CLK","Clear Lake","Clear Lake","Lost Creek","526800"
"CLA","Clear Lake Imp","Clear Lake","Cache Creek","313000"
"CLC","Clifton Court Forebay","Clifton Court Forebay","Old River","29000"
"CGS","Cogswell","Cogswell Reservoir","W Fork San Gabriel River","10438"
"CMB","Combie","Lake Combie","Bear River","5555"
"HNN","Conn Creek","Lake Hennessey","Conn Creek","31000"
"CTG","Courtright","Helms Creek","Helms Creek","123300"
"CYC","Coyote","Coyote Reservoir","Coyote Creek","22541"
