ID,DAM,LAKE,STREAM,CAPACITY (AF),Lat,Long
APN,Alpine,Alpine Lake,Lagunitas Creek,8892,37.94,-122.637,https://en.wikipedia.org/wiki/Alpine_Lake_(Marin_County,_California)
ANT,Antelope,Antelope,Indian Creek,22566,40.18,-120.607,https://en.wikipedia.org/wiki/Antelope_Dam_(California)
AST,Austrian,Lake Austrian,Los Gatos Creek,6200,37.132,-121.93,https://en.wikipedia.org/wiki/Lake_Elsman
BRT,Barrett,Barrett Lake,Cottonwood Creek,34805,32.678,-116.669,https://en.wikipedia.org/wiki/Barrett_Dam
BAR,Bear,Bear Reservoir,Bear Creek,7700,37.367,-120.217
BRV,Bear Valley,Big Bear Lake,Bear Creek,74000,34.242,-116.978
BRD,Beardsley,Beardsley Lake,M Fork Stanislaus River,97800,38.203,-120.075
BTH,Bethany Forebay,Bethany Forebay,Delta,5250,37.785,-121.617
BLB,Black Butte,Black Butte Lake,Stony Creek,143700,39.808,-122.329
BOC,Boca,Boca Reservoir,Little Truckee River,40870,39.388,-120.095
BMP,Bon Tempe,Bon Tempe Reservoir,Lagunitas Creek,4300,37.957,-122.61
BQC,Bouquet Canyon,Bouquet Reservoir,Bouquet Creek,36505,34.586714,-118.395314
BWN,Bowman,Bowman Lake,Canyon Creek,68510,39.45,-120.652
BWS,Bowman Spaulding Diversion,Lake Spaulding System,Yuba River,144591,39.441,-120.658
BDP,Bridgeport,Bridgeport Reservoir,E Fork Walker River,44100,38.325,-119.211
BIO,Briones,Briones Lake,Bear Creek,67520,37.9151,-122.207
BHC,Brush Creek,Brush Creek Reservoir,Brush Creek,1530,38.805,-120.62
BUC,Buchanan,Eastman Lake,Chowchilla River,150000,37.213,-119.97
BIL,Buck Island,Buck Island Lake,Little Rubicon Creek,1070,39.001,-120.25
BCL,Bucks,Bucks Lake,Bucks Creek,103000,39.897,-121.202
BTV,Butt Valley,Butt Valley Reservoir,Butt Creek,49930,40.14802,-121.174174
CCH,Cachuma,Cachuma Lake,Santa Ynez,193305,34.583,-119.98
CVE,Calaveras,Calaveras Reservoir,Calaveras Creek,100000,37.492,-121.818
CRO,Calero,Calero Reservoir,Calero Creek,9738,37.183,-121.792
CMN,Camanche,Camanche Reservoir,Mokelumne River,417120,38.225,-121.021
CMI,Camino,Camino Reservoir,Silver Creek,275,38.833,-120.533
CFW,Camp Far West,Camp Far West,Bear River,104500,39.049858,-121.315941
ALM,Canyon,Lake Almanor,N Fork Feather River,1308000,40.218,-121.173
CPL,Caples,Caples Lake,Silver Fork American River,22340,38.707,-120.048
CSI,Casitas,Lake Casitas,Casitas Creek,238000,34.373,-119.332
CAS,Castaic,Castaic Lake,Castaic Creek,325000,34.5152,-118.6101
SLW,Cedar Springs,Lake Silverwood,Mojave River,78000,34.304,-117.318
CHB,Chabot,Lake Chabot,San Leandro Creek,10281,37.73,-122.122
CHV,Cherry Valley,Cherry Lake,Cherry Creek,273500,37.967,-119.917
JNN,Chet Harrit,Lake Jennings,Quail Canyon Creek,9790,32.854,-116.892
CLK,Clear Lake,Clear Lake,Lost Creek,526800,41.927,-121.075
CLA,Clear Lake Imp,Clear Lake,Cache Creek,313000,38.957,-122.642
CLC,Clifton Court Forebay,Clifton Court Forebay,Old River,29000,37.8298,-121.5574
CGS,Cogswell,Cogswell Reservoir,W Fork San Gabriel River,10438,34.245,-117.965
CMB,Combie,Lake Combie,Bear River,5555,39.017,-121.05
HNN,Conn Creek,Lake Hennessey,Conn Creek,31000,38.482,-122.372
CTG,Courtright,Helms Creek,Helms Creek,123300,37.072,-118.967
CYC,Coyote,Coyote Reservoir,Coyote Creek,22541,37.118,-121.549
COY,Coyote Valley,Lake Mendocino,Russian River,122400,39.197,-123.186
CNV,Crane Valley Storage,Crane Valley Lake,N Fork San Joaquin River,45410,37.283,-119.517
CUY,Cuyamaca,Cuyamaca Lake,Boulder Creek,11740,32.99,-116.587
MHV,Davis,Lake Mohave,Colorado River,1810000,35.197,-114.567
DLV,Del Valle,Lake Del Valle,Arroyo Valle,77100,37.614,-121.745
DMV,Diamond Valley,Diamond Valley Lake,Domenigoni Valley Creek,810000,33.67,-117.066
DNP,Don Pedro,New Don Pedro Reservoir,Tuolumne River,2030000,37.702,-120.421
DON,Donnells,Donnells Reservoir,M Fork Stanislaus,64320,38.329,-119.96
DNN,Donner,Donner Lake,Truckee River,9700,39.322777,-120.2644
DNL,Donner,Donner Lake,Truckee River,10300,39.324,-120.233
DRE,Dwinnell,Lake Shastina,Shasta River,50000,41.540894,-122.37455
EPK,East Park,East Park Reservoir,Stony Creek,51000,39.367,-122.517
ELC,El Capitan,El Capitan Reservoir,San Diego River,112807,32.882,-116.808
ENR,Eleanor,Lake Eleanor,Tuolumne River,28600,37.974,-119.88
EJC,Elmer J Chesbro,Chesbro Reservoir,Llagas Creek,7967,37.117,-121.6935
ENG,Englebright Narrows,Englebright Lake,Yuba River,70000,39.239,-121.267
FRM,Farmington,Farmington Lake,Littlejohn Creek,52000,37.915,-120.935
FLR,Florence,Florence Lake,S Fork San Joaquin River,64406,37.267,-118.967
FOL,Folsom,Folsom Lake,American River,977000,38.683,-121.183
FRL,French Lake,French Lake,Canyon Creek,13940,39.44,-120.544
FMD,French Meadows,French Meadows Reservoir,M Fork American,136400,39.112,-120.468
FRD,Frenchman,Frenchman Lake,Little Last Chance Creek,55477,39.883,-120.183
MIL,Friant,Millerton Lake,San Joaquin River,520500,37.001,-119.705
GLK,Gem Lake,Gem Lake,Rush Creek,17228,37.752,-119.14
GBR,Gerber,Gerber Lake,Klamath River,94720,42.205,-121.13
GLL,Gerle Lake,Gerle Lake,Gerle Creek,1200,38.969167,-120.393056
GBL,Gibraltar,Gibraltar Lake,Santa Ynez River,9998,34.526,-119.686
PWL,Glen Canyon,Lake Powell,Colorado River,24322000,36.937,-111.493
GDW,Goodwin,Goodwin Reservoir,Stanislaus River,500,37.8628,-120.6297
